"title","description","stars","review_count","address","addr_zip","phone/country_code","phone/number","phone/role","url"
"Helena Svobodová","Nabízíme pečivo, chlebíčky, saláty, zákusky, dorty a hezké posezení u kávy. Těšíme se na vaši návštěvu.","5","1","Na Lysinách 460/28, 147 00  Praha, Hodkovičky","14700","420","723199789","Telefon","http://www.cukrarnahodkovicky.cz"
"Lucie Benešová","Zabýváme se především výrobou zakázkových dortů a zákusků. V cukrárně nabízíme čerstvou kávu Costa Rica. Máme v nabídce bezlaktózové mléko a bezkofeinovou kávu. V létě ledová káva s příchutí zmrzlina, domácí limonádu, poháry. V zimně čaj z medvídků, griotka, svařák, teplé ovoce.","5","6","Jeremenkova 920/7, 147 00  Praha, Podolí","14700","420","724083809","Telefon","http://www.dortydomu.cz"
"Drunk monk","Místo, kde se potkávají místní i turisté. Místo na odpočinek, studování nebo relax v klidné atmosféře kláštera z 12.století. Posezení venku na zahrádce nebo uvnitř v historické kapli. Nabízíme výbornou kávu, plzeňské pivo nebo kvalitní vína.","4.5","8","Na Zbořenci 275/10, 120 00  Praha, Nové Město","12000","420","723594226","Telefon","https://www.praguelocals.eu"
"Marijana Sasova Petkova","Provozujeme cukrárnu.","-1","0","U Hostavického potoka 830/26, 198 00  Praha, Hostavice","19800","420","605218447","Mobil","https://www.facebook.com/profile.php"
"Trong Thoi Nguyen","Zabýváme se výrobou a prodejem pekařských výrobků. Nabízíme běžné, cereální a vícezrnné, listové, plundrové či jemné pečivo, dorty i zákusky. Dále v našem sortimentu máme obležené chlebíčky, croissanty a uzeniny. V letních měsících u nás naleznete točenou zmrzlinu či ledovou tříšť.","5","2","Katovická 411/4, 181 00  Praha, Bohnice","18100",,,,
"Žaneta Vorlová","Cukrárna s nabídkou čerstvých dortů, zákusků. Dále prodáváme lahůdky, chlebíčky. Pro osvěžení nabízíme zmrzlinu a ledovou tříšť. Zákusky a dorty vyrábíme na zakázku po dohodě a na objednání.","4","9","Radimova 2322/40, 169 00  Praha, Břevnov","16900","420","770600904","Telefon","https://cukrarnamarketa.cz"
"Elamo-projekt","Provozujeme pohybové studio, kavárnu a zázemí pro děti.","5","3","Honzíkova 635/6, 111 01  Praha, Dolní Měcholupy","11101","420","775926853","Mobil","https://www.triomalyhaj.cz"
"Roman Ježek","Provozujeme cukrárnu.","5","5","Milady Horákové 611/73, 170 00  Praha, Holešovice","17000",,,,
"GREYSPACE","Nadčasová kavárna v evropském stylu inspirovaná vídeňskými a pařížskými kavárnami s kvalitní kávou Filicori Zecchini a domácími zákusky, které vznikají pod rukama naší cukrářky. Kavárna nabízí komfortní křesla s neformálními stolečky.","5","17","Palackého 740/1, 110 00  Praha, Nové Město","11000","420","224321326","Telefon","https://www.cafegraff.cz/"
"Jana Nováková","Vyrábíme a prodáváme lahůdky vlastní výroby, prodej pečiva a provoz kavárny. Nabízíme chlebíčky, saláty, bagety, dorty, kvasový chléb, kávu, snídaně, obědy.","4.5","2","Na Zástřelu 74/1, 169 00  Praha, Břevnov","16900","420","702191092","Mobil","https://lahudkypraha.webnode.cz"
"Ivana Vachtlová","Provozujeme kavárnu s nabídkou polévek, toustů, salátů, obložených chlebů a odrůdových vín. K dispozici je bezdrátové připojení k Internetu.","4.5","10","Mánesova 1624/20, 120 00  Praha, Vinohrady","12000","420","222254021","Telefon","https://www.facebook.com/profile.php?id=100057285895043"
"Jevden","Provozujeme kavárnu a cukrárnu. Nabízíme dezerty, zákusky, dorty, ale také chlebíčky, slané croissanty, omelety, sendviče, snídaňové menu a další. Pořádáme dětské narozeninové oslavy - zařídíme Vám tematický dort, nealkoholické nápoje nebo i menší raut. K dispozici je Wi-Fi a bezbariérový přístup.","5","3","Nezamyslova 110/6, 128 00  Praha, Nusle","12800","420","773994488","Telefon","https://cukrarna-rodinka.webnode.cz"
"Martin Tichý","Nabídka kompletního sortimentu vlastní výroby. Prodej zákusků, dortů, koktejlů a zmrzliny.","4","21","Klapkova 161/35, 182 00  Praha, Kobylisy","18200","420","210320715","Telefon","http://www.cukrarna-praha8.cz"
"Ing. Oldřich Kukla","Provozujeme cukrárnu. Nabízíme dorty, zákusky, minizákusky, vánoční a velikonoční cukroví, slané pečivo. Vyrábíme také chlebíčky. Klademe důraz na čerstvost používaných surovin a tradiční technologické postupy. Vaříme italskou kávu Lavazza, espresso, cappuccino, latté.","4","4","Ke znaku 173/2, 190 14  Praha, Klánovice","19014","420","733401322","Mobil","http://www.ok-cukrarna.cz"
"Dolce Antonio","Vyrábíme a prodáváme donuty. Nabízíme mléčné koktejly.","1","1","Mojmírova 128/6, 140 00  Praha, Nusle","14000",,,,
"My Waff","Prodejna bublinkových vaflí, milkshake, kávy a dalšího občerstvení.","3.5","3","Maiselova 14/1, 110 00  Praha, Josefov","11000","420","602615756","Telefon","https://ohmywaff.cz"
"Italská cukrárna Amarena","Provozujeme italskou cukrárnu dlouhodobě působící v České republice. Nabízíme dorty, zákusky, 18 druhů zmrzliny a teplé i studené nápoje. Všechny suroviny k výrobě zákusků, dortů, dezertů a zmrzliny jsou kvalitní a vlastní receptury.","-1","0","Plzeňská 233/8, 150 00  Praha, Smíchov","15000","420","773662466","Mobil","https://www.cukrarnaamarena.cz"
"Blanka Dolejší","Prodáváme chlebíčky vlastní výroby. Zákusky, mini-zákusky a celé šlehačkové nebo tvarohovo-smetanové dorty s ovocem.","5","1","Vršovická 866/3, 101 00  Praha, Vršovice","10100","420","777058005","Mobil","http://www.cukrarnavrsovice.cz"
"Eva Veselá","Provozujeme cukrárnu. Nabízíme koláče, závin, kremrole, makovec, perník, řezy, šátečky, věnečky a další.","4.5","9","Hlaváčova 1158/14, 182 00  Praha, Kobylisy","18200","420","723726644","Mobil","https://www.karlovarskecukrarstvi.cz"
"Jiří Suchan","Cukrárna, kavárna a zmrzlinářství s vlastní řemeslnou výrobou zmrzliny, kterou stojí za to ochutnat.","4.5","20","náměstí Míru 227/14, 120 00  Praha, Vinohrady","12000","420","777836320","Telefon","https://www.vanille.cz"
"SUGAR CUBE s.r.o.","Vyrábíme exkluzivní svatební dorty, dětské dorty, speciální firemní dorty atd. Dorty vyrábíme jen z kvalitních surovin bez éček. Závozy naším chladícím vozem jsou samozřejmostí.","4.5","16","Milady Horákové 387/56, 170 00  Praha, Holešovice","17000","420","233312148","Telefon","https://www.erhartovacukrarna.cz"
"Michael Bárta","Nabízíme dorty, zákusky, čaje a kávy.","3.5","7","Slavětínská 11/61, 190 14  Praha, Klánovice","19014",,,,
"Kavárna Pražírna","V naší kavárně se můžete posadit na zahrádce i uvnitř a dát si kávu, limonádu, čaj, pivo, víno  a sladké i slané zákusy. K dispozici je Wi-Fi, WC a tekoucí teplá voda.","5","4","Lublaňská 676/50, 120 00  Praha, Vinohrady","12000","420","720385622","Mobil","https://www.kavarnaprazirna.cz"
"Pekárna u divadla","Provozujeme pekárnu s cukrárnou.","2.5","1","Branická 144/61, 147 00  Praha, Braník","14700",,,,
"Europe Active","Provoz café baru.","2","1","Plzeňská 233/8, 150 00  Praha, Smíchov","15000","420","721712549","Mobil","https://www.cafebytretters.cz"
"PURO GELATO","Provozujeme cukrárnu. Nabízíme GELATO dle vlastních receptů, GELATO poháry, mléčné koktejly, sorbety, čerstvé dorty a zákusky, přírodní ovocné šťávy a italskou Rainforest kávu a hořkou čokoládu.","5","4","Rybalkova 182/29, 101 00  Praha, Vršovice","10100","420","721438209","Mobil","https://purogelato.cz"
"AVANERO","Kavárna s vlastní prosklenou cukrářskou výrobnou.","4","6","Tylovo náměstí 645/2, 120 00  Praha, Vinohrady","12000","420","608839826","Mobil","https://ippacafe.cz/pobocky/cafe-tylovo-namesti"
"Twistcafe","Provozujeme kavárnu. K dispozici máme několik druhů kávy a trdelník. Nabízíme i rozvoz.","1","1","Na Pankráci 1727/86, 140 00  Praha, Nusle","14000","420","724855719","Mobil","https://www.facebook.com/trdlokafe"
"CZ Unity Corporation s.r.o.","Výběrová káva a luxusní dorty vlastní výroby. Veškeré nápoje a jídla Vám rádi zabalíme s sebou. Dorty na objednávku z těch nejkvalitnějších surovin.","3","3","Francouzská 761/21, 120 00  Praha, Vinohrady","12000","420","775442128","Mobil","https://elviracafe.com"
"Hájek a Boušová","Výroba a prodej ovocných a šlehačkových dortů, luxusních dortů, obložených chlebíčků a mís, zmrzlin a zmrzlinových pohárů a mléčných koktejlů.","2.5","1","Spálená 2121/22, 110 00  Praha, Nové Město","11000","420","778444121","Telefon","https://www.ovocnysvetozor.cz"
"Alexandra Hurtová","Rodinná čokoládovna. Naším přáním je rozdávat radost v podobě té nejlepší čokolády, kterou s trpělivostí a láskou vyrábíme v srdci Prahy již od r. 2008. V našich čokoládových kavárnách můžete ochutnat přes 50 druhů horkých čokolád z celého světa.","5","18","Liliová 250/4, 110 00  Praha, Staré Město","11000","420","222222519","Telefon","https://www.choco-cafe.cz"
"MISCHEL CATERING","Nabízíme široký sortiment výrobků - pekařské a cukrářské výroby, studené kuchyně a doplňkového sortimentu.","-1","0","Nákupní 390/4, 102 00  Praha, Štěrboholy","10200","420","737227793","Mobil","http://www.abaris.cz"
"Dolce Abbraccio s.r.o.","Italská kavárna, gelateria s vlastní cukrářskou výrobnou domácí zmrzliny, dezertů, pohárů a pečiva.","5","2","Nerudova 235/43, 118 00  Praha, Malá Strana","11800","420","602224888","Telefon",
"365-7-24.cz","Výroba a prodej dortů podle vlastních receptur.","-1","0","náměstí Republiky 1078/1, 110 00  Praha, Nové Město","11000","420","777266933","Mobil","https://sicake.cz"
"Sweet Republic s.r.o.","Jsme cukrářská výroba s téměř 30-ti letou tradicí a vlastní cukrárnou. Tradičními cukrářskými postupy vyrábíme poctivé výrobky z kvalitních surovin. Provozujeme také online e-shopy s dětskými dorty, kavárenskými dorty a tiskneme na jedlý papír.","4","7","Modřanská 608/10, 143 00  Praha, Modřany","14300","420","777920382","Mobil","https://www.cukrarnauskoly.cz"
"Eva HRUŠKOVÁ","Nabízíme slavnostní dorty a zákusky. Doporučujeme SNÍDANĚ u nás, čerstvé pečivo - koláče rovnou z pece, sváteční šátečky či plněné rohlíčky z nejkvalitnějších surovin, obložené banketky, chlebíčky, fit chlebíčky. Několik druhů kávy, čokolád i čajů. Zajišťujeme oslavy narozenin a promoce.","5","14","Perlová 1020/8, 110 00  Praha, Staré Město","11000","420","724939723","Mobil",
"LKD-Potraviny","Provozujeme francouzskou cukrárnu, pekárnu a lahůdky. Nabízíme široký výběr tradičních francouzských specialit od dortů, chleba a pečiva po výživná a lehká jídla jako saláty, polévky a sendviče. U nás nakoupíte rovněž ingredience a polotovary pro domácí přípravu gurmánských jídel.","2.5","3","Dlouhá 614/10, 110 00  Praha, Staré Město","11000","420","222329060","Telefon","https://augourmand.cz"
"SERFY Czech","Jsme rodinný podnik, který se věnuje přípravě poctivé zmrzky. Každý den si u nás můžete vybrat až z deseti druhů zmrzliny, které pravidelně obměňujeme.","5","7","náměstí Olgy Scheinpflugové 1284/2, 152 00  Praha, Hlubočepy","15200","420","725726727","Telefon","https://www.lazmrzka.cz/"
"Běla Řídká","Nabízíme zákusky a minizákusky, zmrzlinové poháry či dorty zdobené živými květy a atypické dorty dle představ zákazníka.","4.5","3","Jirečkova 949/17, 170 00  Praha, Holešovice","17000","420","233370083","Telefon","https://www.upalmy.cz"
"Simona Lukáčová","Tradiční i luxusní cukrovinky, alkohol našich i světových značek prodáváme již 15 let. Zhotovíme dárkové koše i dorty na vaše přání. Nabízíme dárkové šeky. U nás najdete vždy sladký dárek pro své blízké. Prodáváme italskou zmrzlinu z vlastní výrobny.","1","1","Sofijské náměstí 3404/3, 143 00  Praha, Modřany","14300","420","777849360","Mobil","http://www.cukrarnasimona.cz"
"Barossa","Nabízíme donuty.","-1","0","Spálená 93/23, 110 00  Praha, Nové Město","11000","420","608258484","Mobil","https://ladonuteria.eu"
"Alena Doležalová","Nabízíme zákusky, dorty a chlebíčky vlastní výroby. Vyrábíme atypické dorty či pravou šlehačku.","4","16","Karlovo náměstí 315/6, 120 00  Praha, Nové Město","12000","420","224916774","Telefon",
"ARTCON","Provozování kavárny. Nabízíme koláče, dorty, kávu z tuzemských i zahraničních pražíren, domácí snídaně, saláty a burgery. Dále do našeho sortimentu patří bílá, červená a růžová vína. Naše kavárna je nekuřácká. K dispozici je zahrádka a bezdrátové internetové připojení. Umožňujeme platbu kartou.","4","4","Moravská 1540/18, 120 00  Praha, Vinohrady","12000","420","739018195","Mobil","https://monolok.cz"
"Veronika. The Cook and Baker","Pečeme a vaříme poctivě, s láskou a nadšením.","5","2","Komunardů 1126/33, 170 00  Praha, Holešovice","17000","420","776834567","Telefon","https://www.facebook.com/VeronikaTheCookAndBaker"
"Vlastimil Šmída","Prodej zmrzliny a palačinek.","5","2","Karlova 164/28, 110 00  Praha, Staré Město","11000","420","601101878","Mobil","https://bbgelato.com"
"AVANERO","Provozujeme kavárnu s cukrárnou.","3.5","4","Belgická 270/30, 120 00  Praha, Vinohrady","12000","420","608839826","Mobil","https://ippacafe.cz"
"Mgr. Tetyana Kharkivska","Provoz nekuřácké cukrárny. V nabídce naleznete různé druhy zákusků, dortů, palačinek, sendvičů a bujónů. Prodej teplých i studených nápojů. K dispozici je bezdrátové připojení k internetu. Možnost posezení.","2.5","16","Roháčova 1278/113, 130 00  Praha, Žižkov","13000",,,,
"Hájek & Hájková","Naše cukrárna nabízí velký výběr ovocných a šlehačkových dortů, chlebíčky, bagety, mléčné koktejly se zmrzlinou, čerstvé ovocné šťávy, točenou jahodovo-banánovou a vanilkovou zmrzlinu, kopečkovou zmrzlinu. Dodáváme i do kaváren a cukráren v okolí.","3","10","Petržílkova 2583/15, 158 00  Praha, Stodůlky","15800","420","730150840","Mobil","https://www.cukrarna-hajek-hajkova.cz"
"Cukrář Skála","Jsme továrna na sladkosti. Můžete si u nás objednat dorty na zakázku dle vašich chutí a představ. Děláme dorty svatební, narozeninové, dětské a mnoho dalších pro různé příležitosti. Naleznete u nás velký výběr zákusků, koláčů, zmrzlin, pralinek a jiných.","5","17","V celnici 1034/6, 110 00  Praha, Nové Město","11000","420","220199381","Telefon","https://www.cukrarskala.cz/"
"AVANERO","Kavárna s vlastní cukrářskou výrobou.","4.5","7","Jungmannova 30/21, 110 00  Praha, Nové Město","11000","420","608839826","Mobil","https://ippacafe.cz/pobocky/cafe-jungmannova"
"Ivana Melicharová","Jsme rodinná cukrárna, k přípravě dortů používáme výhradně kvalitní suroviny. Vyrábíme zákusky, celé dorty a dorty dle přání zákazníků. V naší provozovně Vám nabízíme lahůdkářské výrobky, jako například chlebíčky, obložené mísy, ovocné mísy. Nově je provozovna také klimatizována. Těšíme se na Vás.","5","18","Kyjevská 525/6, 160 00  Praha, Dejvice","16000","420","606862594","Telefon","http://www.uboruvky.cz"
"Klára Libá","Zakázková výroba svatebních a narozeninových dortů a jiných sladkostí včetně sladkých barů. Pečeme pouze z kvalitních surovin a bez náhražek.","5","2","Polská 1664/15, 120 00  Praha, Vinohrady","12000","420","777906442","Mobil","http://www.vinohradskedorty.cz"
"SLADKÝ ŽIVOT na Hanspaulce s.r.o.","Domácí zákusky a dorty vyrobené s láskou z poctivých farmářských surovin. Zakázková výroba narozeninových dortů a zákusků.","4.5","7","Na Pískách 1256/39, 160 00  Praha, Dejvice","16000","420","725176891","Mobil","https://sladkyzivot.cafe"
"CAMBRIEL s.r.o.","Čokoládový workshop, pralinka, kurzy čokoládových dezertů pro jednotlivce i firmy. 
Budování týmu/ team building, oslava narozenin, oslava výročí.","5","2","Havelská 521/8, 110 00  Praha, Staré Město","11000","420","774419946","Telefon","http://www.passionchocolate.cz"
"Václav Roškota","Provozujeme cukrárnu. Nabízíme zákusky a chlebíčky vlastní výroby. Na přání vyrábíme svatební a slavnostní či slané dorty a zajišťujeme občerstvení na rauty.","5","2","Račiněveská 2444, 190 16  Praha, Újezd nad Lesy","19016","420","737623611","Mobil",
"KYO - PARIS s.r.o.","Vyrábíme unikántní lahodné dorty a zákusky z kvalitních surovin s použitím ingrediencí z celého světa. Nabízíme francouzské snídaně, obědy, romantický brunch. Věnujeme se i zakázkové výrobě: svatební či narozeninový dort zhotovíme na přání i v bezlepkové, bezlaktozové, veganské podobě.","5","3","Klimentská 2067/34, 110 00  Praha, Nové Město","11000","420","775096621","Mobil","https://www.facebook.com/cafe.milleme"
"Lington Accessories","Nabízíme unikátní koncept luxusních jogurtů. Dobrá káva a pití samozřejmostí.","5","2","Petrohradská 893/34, 101 00  Praha, Vršovice","10100","420","775150299","Mobil","https://www.mujjogurt.cz"
"Cukrárna Kamel","Nabídka dortů, zákusků a teplých i studených nápojů.","5","1","Francouzská 85/42, 120 00  Praha, Vinohrady","12000","420","608507381","Telefon","https://www.cukrarnakamel.cz"
"CERN-Praha","Provozujeme kavárnu. Nabízíme kávu, zákusky a dorty.","-1","0","Anglická 388/1, 120 00  Praha, Vinohrady","12000","420","777699494","Mobil","https://www.facebook.com/Eclair.prague"
"I Love Ice Cream","Provozujeme italskou zmrzlinárnu. Používáme čerstvé mléčné výrobky a ovoce od místních producentů a pěstitelů doplněné kombinací kvalitních surovin z Itálie.","-1","0","Gogolova 228/8, 118 00  Praha, Hradčany","11800","420","608534050","Telefon",
"MARKETON","Esoterická kavárna. Široký sortiment teplých a studených nápojů, originální kávové recepty, přírodní ovocné čaje. Dobrý výběr vín a lihovin. Lehké občerstvení a dezerty jsou k dispozici. Všechny návštěvníky naši kavárny čeká aroma čerstvě uvařené kávy, příjemná atmosféra a dobrá nálada.","5","3","Zborovská 1200/6, 150 00  Praha, Smíchov","15000","420","774888847","Mobil","http://bluebirds.cz/cz/cafe.html"
"Olha Kasyanova","Chutné a kvalitní dorty na objednávku. Používáme pouze prověřené kvalitní potraviny a ingredience, a proto vyrábíme ideálně chutné dorty podle nejlepších receptů.","5","9","V Zeleném údolí 1301/9, 148 00  Praha, Kunratice","14800","420","776152835","Telefon","https://www.guljardo.com/"
"AVANERO","Provozujeme kavárnu s cukrárnou.","4","4","Bělohorská 724/134, 169 00  Praha, Břevnov","16900","420","608839836","Mobil","https://ippacafe.cz/pobocky/cafe-brevnov"
"Cukrárna u Arbesa","Provoz cukrárny. Všechny naše cukrářské výrobky vyrábíme ve vlastní výrobně z nejkvalitnějších surovin. Vaše chuťové buňky vás budou milovat.","5","1","Štefánikova 278/40, 150 00  Praha, Smíchov","15000","420","724731515","Telefon","https://www.cukrarnauarbesa.cz"
"TO EUROPE","Jsme malá útulná kavárna. Připravujeme výběrovou, čerstvě praženou kávu Doubleshot, nabízíme výborné dortíky, moravské koláče, buchty, domácí limonády a mnoho dalšího.","5","5","Jugoslávských partyzánů 639/26, 160 00  Praha, Bubeneč","16000","420","736523749","Mobil","https://www.estellacafe.cz"
"Dana Danielová","Provozujeme cukrárnu. Nabízíme narozeninové a svatební dorty, zákusky, briošek vlastní výroby a chlebíčky.","4","27","Vinohradská 2266/118, 130 00  Praha, Vinohrady","13000","420","271734010","Telefon",
"Aleš Červenka","Bezlepkové i jiné zákusky a jejich miminka, celé dorty po objednání, v létě kopečkové zmrzliny, v zimě mrazené ovoce, vína, med, káva Brasil, bylinné sirupy, cukrovinky.","5","9","Brodského 1673/13, 149 00  Praha, Chodov","14900","420","776062030","Telefon",
"MANES GROUP","Moderní kavárna a cukrárna sázející na výtečnou kávu a výrobky z vlastní cukrárny a pekárny. Zastavte se jen tak pro kávu sebou nebo dezert po obědě. Kvalitu a čerstvost určitě oceníte.","3.5","2","Masarykovo nábřeží 250/1, 110 00  Praha, Nové Město","11000","420","730150772","Mobil","https://manesrestaurant.cz"
"MAKSER","Prodáváme zmrzlinu. Nabízíme smetanové, sorbetty ze sezonního ovoce a jedinečné jako například - parmazánové, dýňové, rýžové, rebarborové, bezové, avokádové, olivové, levandulové, a kopřivové zmrzliny.","5","16","Újezd 425/24, 118 00  Praha, Malá Strana","11800","420","777787344","Telefon","https://angelato.cz"
"Thi Nguyet Nguyen","Provoz kavárny s cukrárnou.","5","2","Komořanská 2065/9, 143 00  Praha, Modřany","14300","420","606054964","Mobil","https://www.cukrarnakavarna9999.cz"
"Dreamco","Můžete k nám přijít ochutnat naší BIO kávu, včetně rozsáhlého sortimentu kvalitních českých dezertů a pokrmů. Součástí kavárny je 2 patrový domeček s velkým množstvím hraček.","5","3","Gercenova 1181/10, 102 00  Praha, Hostivař","10200","420","603595199","Mobil","https://www.facebook.com/indancecafe"
