"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categoryName","url"
"Tichá cukrárna","5","1","Bínova 534/12","Praha 8-Střížkov",,"CZ","http://www.tichacukrarna.cz/","+420 725 451 856","Cukrárna","https://www.google.com/maps/place/Tich%C3%A1+cukr%C3%A1rna/@50.1306804,14.4807586,17z/data=!3m1!4b1!4m6!3m5!1s0x470bebc9ca8e0d43:0x64f1ac781edae521!8m2!3d50.1306804!4d14.4807586!16s%2Fg%2F11hdjvs2sf?hl=cs&entry=ttu"
"Pekárna & cukrárna Marcipánka","4.5","117","Mladoboleslavská 8","Praha-Vinoř",,"CZ","http://www.marcipanka.cz/","+420 603 410 006","Cukrárna","https://www.google.com/maps/place/Pek%C3%A1rna+%26+cukr%C3%A1rna+Marcip%C3%A1nka/@50.1437349,14.579081,17z/data=!3m1!4b1!4m6!3m5!1s0x470bed981442f893:0xe37e810b81729e86!8m2!3d50.1437349!4d14.579081!16s%2Fg%2F1td758_w?hl=cs&entry=ttu"
"Cukrárna U Háje","4.6","288","Hovorčovická 28","Praha 8",,"CZ","http://www.cukrarnauhaje.cz/","+420 284 685 169","Prodejna zákusků","https://www.google.com/maps/place/Cukr%C3%A1rna+U+H%C3%A1je/@50.1301261,14.444759,17z/data=!3m1!4b1!4m6!3m5!1s0x470beb3dfdb5d235:0x8b8217448a848c9a!8m2!3d50.1301261!4d14.444759!16s%2Fg%2F1trxcdvv?hl=cs&entry=ttu"
"Au Gourmand","4.1","1192","Dlouhá 614/10","Staré Město",,"CZ","http://augourmand.cz/","+420 602 305 181","Francouzská cukrárna","https://www.google.com/maps/place/Au+Gourmand/@50.0890786,14.4223662,17z/data=!3m1!4b1!4m6!3m5!1s0x470b94e999a7f787:0xa781802f0790ed64!8m2!3d50.0890786!4d14.4223662!16s%2Fg%2F1tm09jc2?hl=cs&entry=ttu"
"cukrárna Eliška",,"0","Bubenské nábř. 306/13","Praha 7-Holešovice",,"CZ",,,"Cukrárna","https://www.google.com/maps/place/cukr%C3%A1rna+Eli%C5%A1ka/@50.0992827,14.4466674,17z/data=!3m1!4b1!4m6!3m5!1s0x470b94b0854ed291:0x969476c97d0fc536!8m2!3d50.0992827!4d14.4466674!16s%2Fg%2F11b6vb_chp?hl=cs&entry=ttu"
"Cukrárna Anděl","4.6","31","Trousilova 1064","Praha 8-Kobylisy",,"CZ","http://www.andelback.cz/","+420 233 557 744","Cukrárna","https://www.google.com/maps/place/Cukr%C3%A1rna+And%C4%9Bl/@50.1272626,14.450685,17z/data=!3m1!4b1!4m6!3m5!1s0x470beb3fca2f4dc7:0xcb17628b5b375f07!8m2!3d50.1272626!4d14.450685!16s%2Fg%2F11c55vvz5h?hl=cs&entry=ttu"
"C&P U Bohemky","4.7","10","Vršovická 44","Praha 10-Vršovice",,"CZ",,"+420 775 621 962","Cukrárna","https://www.google.com/maps/place/C%26P+U+Bohemky/@50.0663269,14.4562599,17z/data=!3m1!4b1!4m6!3m5!1s0x470b93633307e399:0x2516b6de1352a6d5!8m2!3d50.0663269!4d14.4562599!16s%2Fg%2F11pb0vsqxh?hl=cs&entry=ttu"
"CUKRÁRNA Buchalovi","4.6","230","U Červeného mlýnku 977/2 Čakovice Praha 9 CZ","Praha 9",,"CZ","https://www.cukrarna-buchalovi.cz/","+420 606 349 735","Cukrárna","https://www.google.com/maps/place/CUKR%C3%81RNA+Buchalovi/@50.1502659,14.4982107,17z/data=!3m1!4b1!4m6!3m5!1s0x470b923d4e541001:0x9eb26c1b55cb18a5!8m2!3d50.1502659!4d14.4982107!16s%2Fg%2F11bc7rvy8t?hl=cs&entry=ttu"
"Cukrárna a kavárna 9999","4.6","16","Komořanská 2065/9","Praha 12-Modřany",,"CZ","https://www.cukrarnakavarna9999.cz/","+420 606 054 964","Cukrárna","https://www.google.com/maps/place/Cukr%C3%A1rna+a+kav%C3%A1rna+9999/@50.0036741,14.4051949,17z/data=!3m1!4b1!4m6!3m5!1s0x470b97c77737d5b7:0xdccecc8c2a65f1f6!8m2!3d50.0036741!4d14.4051949!16s%2Fg%2F11s7z7qpr2?hl=cs&entry=ttu"
"Cukrárna",,"0","Budějovická 409","Praha 4",,"CZ",,"+31 6 37928738","Cukrárna","https://www.google.com/maps/place/Cukr%C3%A1rna/@50.0495799,14.4422758,17z/data=!3m1!4b1!4m6!3m5!1s0x470b93429e839e63:0x5670e0a41a909918!8m2!3d50.0495799!4d14.4422758!16s%2Fg%2F11l2xvhnvt?hl=cs&entry=ttu"
"Cukrárna",,"0","Vršovická 866/3","Praha 10-Vršovice",,"CZ",,"+31 6 37887420","Cukrárna","https://www.google.com/maps/place/Cukr%C3%A1rna/@50.0662176,14.449342,17z/data=!3m1!4b1!4m6!3m5!1s0x470b938d028b8269:0x78c57b03c159866!8m2!3d50.0662176!4d14.449342!16s%2Fg%2F11vf1kggww?hl=cs&entry=ttu"
"Cukrárna Dana",,"0","Křižíkova 76","Praha 8-Karlín",,"CZ",,,"Pekařství","https://www.google.com/maps/place/Cukr%C3%A1rna+Dana/@50.0923946,14.4498061,17z/data=!3m1!4b1!4m6!3m5!1s0x470b94a3661e51ef:0x77499bda388d9c4e!8m2!3d50.0923946!4d14.4498061!16s%2Fg%2F11b6v3nlmk?hl=cs&entry=ttu"
"Pekárna a cukrárna Hořovice","4.1","44","Čestmírova","Praha 4-Nusle",,"CZ","http://www.pekarnahorovice.cz/","+420 604 557 193","Pekařství","https://www.google.com/maps/place/Pek%C3%A1rna+a+cukr%C3%A1rna+Ho%C5%99ovice/@50.0641597,14.4407213,17z/data=!3m1!4b1!4m6!3m5!1s0x470b947e98c35227:0xaaa15786dc20e50a!8m2!3d50.0641597!4d14.4407213!16s%2Fg%2F11bwm6dmnx?hl=cs&entry=ttu"
"Cukrárna mléčný bar","4","3","Na Poříčí 1061","Petrská čtvrť",,"CZ",,,"Prodej zmrzliny","https://www.google.com/maps/place/Cukr%C3%A1rna+ml%C3%A9%C4%8Dn%C3%BD+bar/@50.0904845,14.4358569,17z/data=!3m1!4b1!4m6!3m5!1s0x470b94be339eac17:0x2c72876304402029!8m2!3d50.0904845!4d14.4358569!16s%2Fg%2F11b6vcjqsk?hl=cs&entry=ttu"
"Lahůdky a cukrárna U Přátel","4.7","45","Šimůnkova 1625/1","Praha 8-Kobylisy",,"CZ","https://www.lahudky-cukrarna.cz/praha/kontakt","+420 606 527 758","Cukrárna","https://www.google.com/maps/place/Lah%C5%AFdky+a+cukr%C3%A1rna+U+P%C5%99%C3%A1tel/@50.1329923,14.4703647,17z/data=!3m1!4b1!4m6!3m5!1s0x470beb65e5e22b0d:0xa9fd3494cc88ecea!8m2!3d50.1329923!4d14.4703647!16s%2Fg%2F11hzvcnzw9?hl=cs&entry=ttu"
"Cukrárny","1","1","Revoluční 1634/12","Staré Město",,"CZ",,,,"https://www.google.com/maps/place/Cukr%C3%A1rny/@50.0896285,14.4258919,17z/data=!3m1!4b1!4m6!3m5!1s0x470b94ea7f9759b7:0x91b541b00faa32a3!8m2!3d50.0896285!4d14.4258919!16s%2Fg%2F11fsmt197g?hl=cs&entry=ttu"
"Cukrárna U Nováků","4.2","34","Klapkova 42","Praha 8",,"CZ","http://www.cukrarnaunovaku.cz/","+420 284 690 817","Cukrárna","https://www.google.com/maps/place/Cukr%C3%A1rna+U+Nov%C3%A1k%C5%AF/@50.1223632,14.45562,17z/data=!3m1!4b1!4m6!3m5!1s0x470beb469ecebf3d:0x2cb74876802de4cf!8m2!3d50.1223632!4d14.45562!16s%2Fg%2F11b6v8nhf8?hl=cs&entry=ttu"
"Cukrárna",,"0","Dlouhá 736/23","Staré Město",,"CZ",,,"Obchod s potravinami","https://www.google.com/maps/place/Cukr%C3%A1rna/@50.0902736,14.424581,17z/data=!3m1!4b1!4m6!3m5!1s0x470b958ecbbe668f:0xb07c2f53975e543f!8m2!3d50.0902736!4d14.424581!16s%2Fg%2F11rhvt43g7?hl=cs&entry=ttu"
"Q.B. Cukrárna",,"0","Legerova 1820","Nové Město",,"CZ",,,"Pekařství","https://www.google.com/maps/place/Q.B.+Cukr%C3%A1rna/@50.0738858,14.4301901,17z/data=!3m1!4b1!4m6!3m5!1s0x470b948be35283a1:0x172b7b9c73cf8903!8m2!3d50.0738858!4d14.4301901!16s%2Fg%2F11b6vdvp3x?hl=cs&entry=ttu"
"Lahůdky a cukrárna Hodkovičky","4.9","10","Na Lysinách 460/28","Praha 4-Hodkovičky",,"CZ","http://www.cukrarnahodkovicky.cz/","+420 723 199 789","Cukrárna","https://www.google.com/maps/place/Lah%C5%AFdky+a+cukr%C3%A1rna+Hodkovi%C4%8Dky/@50.022196,14.4127314,17z/data=!3m1!4b1!4m6!3m5!1s0x470b97e3f3536421:0xa277d01838498261!8m2!3d50.022196!4d14.4127314!16s%2Fg%2F11t_lrstl_?hl=cs&entry=ttu"
"Kavárna a Cukrárna Alenka v říši divů","4.8","162","Lindleyova 4","Praha 6-Podbaba",,"CZ","https://www.instagram.com/kavarna_alenka_v_risi_divu/","+420 774 282 540","Kavárna","https://www.google.com/maps/place/Kav%C3%A1rna+a+Cukr%C3%A1rna+Alenka+v+%C5%99%C3%AD%C5%A1i+div%C5%AF/@50.1123912,14.3911897,17z/data=!3m1!4b1!4m6!3m5!1s0x470b948486d0f657:0x3bf467a47dd61ebd!8m2!3d50.1123912!4d14.3911897!16s%2Fg%2F11g6925597?hl=cs&entry=ttu"
"Cukrárna U Školy","4.5","132","Modřanská 10/608/10","Modřany, Praha 4 – Modřany-Praha 12",,"CZ","http://www.cukrarnauskoly.cz/","+420 777 920 382","Cukrárna","https://www.google.com/maps/place/Cukr%C3%A1rna+U+%C5%A0koly/@50.0068641,14.404233,17z/data=!3m1!4b1!4m6!3m5!1s0x470b96c8897aa8cd:0x87424fb7dafb10aa!8m2!3d50.0068641!4d14.404233!16s%2Fg%2F1vppr7bp?hl=cs&entry=ttu"
"Staročeská pekárna - cukrárna","4.3","136","Perlová 8","Staré Město",,"CZ",,"+420 224 263 168","Pekařství","https://www.google.com/maps/place/Staro%C4%8Desk%C3%A1+pek%C3%A1rna+-+cukr%C3%A1rna/@50.0834225,14.4212193,17z/data=!3m1!4b1!4m6!3m5!1s0x470b94edd4885e61:0x7196c9024cdcdba7!8m2!3d50.0834225!4d14.4212193!16s%2Fg%2F11ghfbzp0z?hl=cs&entry=ttu"
"Cukrárna Letná","4.6","39","M. Horákové 611/73","Praha 7-Holešovice",,"CZ","http://www.cukrarnamarketa.cz/","+420 770 600 390","Cukrárna","https://www.google.com/maps/place/Cukr%C3%A1rna+Letn%C3%A1/@50.0998815,14.4237626,17z/data=!3m1!4b1!4m6!3m5!1s0x470b9583a6a5a5ed:0xadbe99a3d177f000!8m2!3d50.0998815!4d14.4237626!16s%2Fg%2F11stg4x75s?hl=cs&entry=ttu"
"Cukrárna U Hrdinů","4.5","218","36, Dukelských Hrdinů 232","Praha 7-Holešovice",,"CZ","http://www.uhrdinu.cz/","+420 737 666 510","Cukrárna","https://www.google.com/maps/place/Cukr%C3%A1rna+U+Hrdin%C5%AF/@50.1018481,14.4332175,17z/data=!3m1!4b1!4m6!3m5!1s0x470b94c88d2a1b47:0xa068835d9e79735a!8m2!3d50.1018481!4d14.4332175!16s%2Fg%2F1td_3x4k?hl=cs&entry=ttu"
"Cukrárna",,"0","Freyova 983","Praha 9",,"CZ",,"+31 6 37930665","Cukrárna","https://www.google.com/maps/place/Cukr%C3%A1rna/@50.1053272,14.5021497,17z/data=!3m1!4b1!4m6!3m5!1s0x470bed0a8de2215d:0x15910baa30816a57!8m2!3d50.1053272!4d14.5021497!16s%2Fg%2F11vf1hs4kh?hl=cs&entry=ttu"
"Alchymista","4.7","855","Jana Zajíce 975/7","Praha 7-Bubeneč",,"CZ","http://www.alchymista.cz/","+420 732 938 046","Cukrárna","https://www.google.com/maps/place/Alchymista/@50.1009475,14.4171898,17z/data=!3m1!4b1!4m6!3m5!1s0x470b94da40a47567:0xc911e736a5754164!8m2!3d50.1009475!4d14.4171898!16s%2Fg%2F1td_x9l6?hl=cs&entry=ttu"
"Cukrarna Avanti","4.3","377","Mladoboleslavská 475","Kbely",,"CZ","http://www.cukrarnaavanti.cz/","+420 776 213 246","Cukrárna","https://www.google.com/maps/place/Cukrarna+Avanti/@50.1310616,14.5520318,17z/data=!3m1!4b1!4m6!3m5!1s0x470bed044bb9d0d9:0x897392a8cd991865!8m2!3d50.1310616!4d14.5520318!16s%2Fg%2F1260xr7yf?hl=cs&entry=ttu"
"Cukrárna Buchta - bezlepkové cukrářství","4.9","88","Národní obrany 824/35","Praha 6-Bubeneč",,"CZ","https://www.facebook.com/Buchta-cukrarstvi-106284158433090/?ref=page_internal","+420 604 227 672","Cukrárna","https://www.google.com/maps/place/Cukr%C3%A1rna+Buchta+-+bezlepkov%C3%A9+cukr%C3%A1%C5%99stv%C3%AD/@50.101278,14.3975656,17z/data=!3m1!4b1!4m6!3m5!1s0x470b95fff80369f1:0x2e3bf50665207805!8m2!3d50.101278!4d14.3975656!16s%2Fg%2F11rckw_n16?hl=cs&entry=ttu"
"Sladká cesta cukrárna/kavárna","4.7","58","Koněvova 39","Praha 3-Žižkov",,"CZ","http://sladkacesta.cz/","+420 734 448 381","Kavárna","https://www.google.com/maps/place/Sladk%C3%A1+cesta+cukr%C3%A1rna%2Fkav%C3%A1rna/@50.0883363,14.4581698,17z/data=!3m1!4b1!4m6!3m5!1s0x470b951b36b04583:0x4a4fc319dc7241e7!8m2!3d50.0883363!4d14.4581698!16s%2Fg%2F11sc29xnvw?hl=cs&entry=ttu"
"Cukrárna Pekařství Lahůdky BAUMAN","3.3","7","Bělehradská 572/63","Vinohrady",,"CZ",,,"Cukrárna","https://www.google.com/maps/place/Cukr%C3%A1rna+Peka%C5%99stv%C3%AD+Lah%C5%AFdky+BAUMAN/@50.0726399,14.4331392,17z/data=!3m1!4b1!4m6!3m5!1s0x470b948919333e27:0x812ddd7c9fab1b2!8m2!3d50.0726399!4d14.4331392!16s%2Fg%2F11f537pq5z?hl=cs&entry=ttu"
"Jindřiška Literová","4.9","35","Na Musilech 349","Praha-Libuš",,"CZ","http://www.cukrarna-vyrobna.cz/","+420 261 912 620","Prodejna zákusků","https://www.google.com/maps/place/Jind%C5%99i%C5%A1ka+Literov%C3%A1/@50.0063239,14.4649057,17z/data=!3m1!4b1!4m6!3m5!1s0x470b9173ccb6687b:0xeba041bedaf90053!8m2!3d50.0063239!4d14.4649057!16s%2Fg%2F1tdfgdkd?hl=cs&entry=ttu"
"Cukrářství Viktoria - pouze výrobna a výdejna objednávek","4.7","31","Lysinská 1863/44","Praha 4",,"CZ","http://www.cukrarstvi-viktoria.cz/","+420 222 710 337","Cukrárna","https://www.google.com/maps/place/Cukr%C3%A1%C5%99stv%C3%AD+Viktoria+-+pouze+v%C3%BDrobna+a+v%C3%BDdejna+objedn%C3%A1vek/@50.0138854,14.4101973,17z/data=!3m1!4b1!4m6!3m5!1s0x470b94998a1d94c1:0xaadbdef574f19784!8m2!3d50.0138854!4d14.4101973!16s%2Fg%2F1tcxncxr?hl=cs&entry=ttu"
"Učňovská cukrárna a pekárna","3.3","28","Chlumecká 2398","Horní Počernice",,"CZ","http://www.ucnovskacukrarna.cz/","+420 312 687 237","Pekařství","https://www.google.com/maps/place/U%C4%8D%C5%88ovsk%C3%A1+cukr%C3%A1rna+a+pek%C3%A1rna/@50.1116919,14.5811145,17z/data=!3m1!4b1!4m6!3m5!1s0x470bed5dc37e46c1:0xdf3ba20f0d267643!8m2!3d50.1116919!4d14.5811145!16s%2Fg%2F11fy2k22q4?hl=cs&entry=ttu"
"Cukrárny","5","1","Nitranská 1012/26","Praha 2-Vinohrady",,"CZ",,,"Prodejna","https://www.google.com/maps/place/Cukr%C3%A1rny/@50.0770237,14.4504405,17z/data=!3m1!4b1!4m6!3m5!1s0x470b94832a5ce7a7:0x56ad9c4327e8adc9!8m2!3d50.0770237!4d14.4504405!16s%2Fg%2F11fsmt36xk?hl=cs&entry=ttu"
"Café La Dolce Vita","4.5","63","Pplk. Sochora 980/15","Praha 7-Holešovice",,"CZ","http://www.nebeskepralinky.cz/","+420 220 571 194","Cukrárna","https://www.google.com/maps/place/Caf%C3%A9+La+Dolce+Vita/@50.0996225,14.4342817,17z/data=!3m1!4b1!4m6!3m5!1s0x470b94c7db49f065:0x4e06fc68a928157e!8m2!3d50.0996225!4d14.4342817!16s%2Fg%2F1thzshyl?hl=cs&entry=ttu"
"SiCAKE - Svět Dortů OC Palladium","4","28","Náměstí Republiky 1078/1","Petrská čtvrť",,"CZ","http://www.sicake.cz/","+420 724 363 933","Cukrárna","https://www.google.com/maps/place/SiCAKE+-+Sv%C4%9Bt+Dort%C5%AF+OC+Palladium/@50.0891861,14.4287219,17z/data=!3m1!4b1!4m6!3m5!1s0x470b9565c76de62d:0x866a333007bf8b44!8m2!3d50.0891861!4d14.4287219!16s%2Fg%2F11hdpd0gt0?hl=cs&entry=ttu"
"Cukrárna Simona","4.3","45","Sofijské nám. 3404/3","Praha 12-Modřany",,"CZ","https://www.cukrarnasimona.cz/","+420 777 849 360","Cukrárna","https://www.google.com/maps/place/Cukr%C3%A1rna+Simona/@50.0064221,14.416512,17z/data=!3m1!4b1!4m6!3m5!1s0x470b97f0dd52e107:0x95f64de0bcfae8b!8m2!3d50.0064221!4d14.416512!16s%2Fg%2F11h07fsdfn?hl=cs&entry=ttu"
"Punťova psí cukrárna","4.7","90","Soběslavská 2249/23","Žižkov",,"CZ","http://www.psicukrarna.cz/","+420 608 721 728","Psí kavárna","https://www.google.com/maps/place/Pun%C5%A5ova+ps%C3%AD+cukr%C3%A1rna/@50.0774201,14.474422,17z/data=!3m1!4b1!4m6!3m5!1s0x470b9498bb632557:0xf6677759d83bae2d!8m2!3d50.0774201!4d14.474422!16s%2Fg%2F11c1tkrlps?hl=cs&entry=ttu"
"Cukrárna","3.9","31","Ke Znaku 173","Praha-Klánovice",,"CZ",,"+420 733 401 322","Cukrárna","https://www.google.com/maps/place/Cukr%C3%A1rna/@50.0989762,14.6724826,17z/data=!3m1!4b1!4m6!3m5!1s0x470bf3407c88f19f:0x90f2875057e819f5!8m2!3d50.0989762!4d14.6724826!16s%2Fg%2F1tnhx171?hl=cs&entry=ttu"
"Cukrárna Zela",,"0","Koněvova 1703/132","Praha 3-Žižkov",,"CZ",,,"Kavárna","https://www.google.com/maps/place/Cukr%C3%A1rna+Zela/@50.0902634,14.467636,17z/data=!3m1!4b1!4m6!3m5!1s0x470b934b3dd204e7:0xcdc852bf96d6a184!8m2!3d50.0902634!4d14.467636!16s%2Fg%2F11jyr8jl0p?hl=cs&entry=ttu"
"Cukrárna Boháč a chuďas","4","133","Verneřická 559/3A","Praha 9-Prosek",,"CZ","http://www.bohacachudas.cz/","+420 602 340 368","Cukrárna","https://www.google.com/maps/place/Cukr%C3%A1rna+Boh%C3%A1%C4%8D+a+chu%C4%8Fas/@50.1236256,14.4972,17z/data=!3m1!4b1!4m6!3m5!1s0x470becbd803d9e17:0x7c9fae5affb045d4!8m2!3d50.1236256!4d14.4972!16s%2Fg%2F1tf5cg94?hl=cs&entry=ttu"
"Votre plaisir","4.8","183","Klimentská 1246/1","Nové Město",,"CZ","http://www.votreplaisir.cz/","+420 737 509 106","Cukrárna","https://www.google.com/maps/place/Votre+plaisir/@50.0915459,14.4280844,17z/data=!3m1!4b1!4m6!3m5!1s0x470b94c012e75ab3:0x964d519d785cb05b!8m2!3d50.0915459!4d14.4280844!16s%2Fg%2F11b78q2vys?hl=cs&entry=ttu"
"Pekárna a cukrárna U Divadla","3.3","16","Branická 144/61","Praha 4-Braník",,"CZ",,"+420 725 801 610","Pekařství","https://www.google.com/maps/place/Pek%C3%A1rna+a+cukr%C3%A1rna+U+Divadla/@50.0359495,14.4137031,17z/data=!3m1!4b1!4m6!3m5!1s0x470b9577bdef74a3:0xd41c3ef6a168c5ee!8m2!3d50.0359495!4d14.4137031!16s%2Fg%2F11qh3ph64c?hl=cs&entry=ttu"
"Erhartova cukrárna","4.3","453","M. Horákové 387/56","Praha 7-Holešovice",,"CZ","http://www.erhartovacukrarna.cz/","+420 233 312 148","Cukrárna","https://www.google.com/maps/place/Erhartova+cukr%C3%A1rna/@50.1000941,14.4255645,17z/data=!3m1!4b1!4m6!3m5!1s0x470b94c57359d55b:0x3f4de2245e94ee7b!8m2!3d50.1000941!4d14.4255645!16s%2Fg%2F1tcx07bg?hl=cs&entry=ttu"
"Cukrárna Jana","3.7","3","Železná 548","Staré Město",,"CZ",,"+420 224 230 776","Prodejna zákusků","https://www.google.com/maps/place/Cukr%C3%A1rna+Jana/@50.0870619,14.4214947,17z/data=!3m1!4b1!4m6!3m5!1s0x470b94e95aab3e2f:0xd5b1d6134d5ab0b!8m2!3d50.0870619!4d14.4214947!16s%2Fg%2F1tdjvr40?hl=cs&entry=ttu"
"Cukrárna Bruno","3.9","46","Jugoslávských partyzánů 1088","Praha 6",,"CZ","http://www.cukrarnabruno.cz/",,"Cukrárna","https://www.google.com/maps/place/Cukr%C3%A1rna+Bruno/@50.1065921,14.3942752,17z/data=!3m1!4b1!4m6!3m5!1s0x470b95306a88bdd7:0xdcaa11ada96303e6!8m2!3d50.1065921!4d14.3942752!16s%2Fg%2F11bwptk38l?hl=cs&entry=ttu"
"Cukrárna Tichý","4.5","340","Klapkova 161","Praha 8",,"CZ","http://www.cukrarna-praha8.cz/","+420 284 686 282","Cukrárna","https://www.google.com/maps/place/Cukr%C3%A1rna+Tich%C3%BD/@50.1261111,14.4569444,17z/data=!3m1!4b1!4m6!3m5!1s0x470beb4177900c9b:0x96bd38ee879d7fa8!8m2!3d50.1261111!4d14.4569444!16s%2Fg%2F11b6d7648v?hl=cs&entry=ttu"
"Cukrárna a pekařství Moravcovi","3.2","20","Ratibořická 2325","Praha 20",,"CZ","http://www.pekarstvimoravec.cz/","+420 776 715 599","Cukrárna","https://www.google.com/maps/place/Cukr%C3%A1rna+a+peka%C5%99stv%C3%AD+Moravcovi/@50.1118669,14.6182782,17z/data=!3m1!4b1!4m6!3m5!1s0x470bf294c3f78b1f:0xff965a4c290700fb!8m2!3d50.1118669!4d14.6182782!16s%2Fg%2F11g8p8ry1v?hl=cs&entry=ttu"
"Cukrárna Fairy Tale Bakery","4.9","65","Drahobejlova 2473/40","Praha 9-Libeň",,"CZ","http://fairytalebakery.cz/","+420 724 414 555","Cukrárna","https://www.google.com/maps/place/Cukr%C3%A1rna+Fairy+Tale+Bakery/@50.1059743,14.4908243,17z/data=!3m1!4b1!4m6!3m5!1s0x470bedf51cc8509f:0xcc5a3d177643dce7!8m2!3d50.1059743!4d14.4908243!16s%2Fg%2F11rcms4_v7?hl=cs&entry=ttu"
